seed,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary
1099062448631258,1.827135,0.3769428571428572,0.4384714285714284,0.18458571428571424
853827592514924,1.7553571428571428,0.3399642857142857,0.47471428571428587,0.1853214285714286
1052030010736714,1.7139792857142861,0.3202285714285714,0.49700714285714276,0.18276428571428577
993068073743470,1.6425171428571435,0.28620714285714305,0.5455142857142857,0.16827857142857136
375074238073900,2.0273692857142853,0.48507857142857164,0.34061428571428576,0.1743071428571429
416178520884477,1.7557814285714282,0.33595714285714284,0.472585714285714,0.19145714285714283
874051135843279,1.9006049999999999,0.42274285714285703,0.4073499999999999,0.16990714285714284
12944511869278,2.004315714285714,0.48389285714285696,0.35100000000000003,0.16510714285714287
542029227742456,2.0374621428571422,0.4794071428571428,0.3217785714285715,0.1988142857142858
1011744331896734,1.8806635714285715,0.4074357142857143,0.4165285714285713,0.17603571428571424
211701226972609,1.740801428571429,0.3302714285714288,0.4828214285714287,0.1869071428571428
292918525777755,1.7407721428571432,0.3361714285714286,0.49245714285714287,0.17137142857142862
731147908347497,1.856685,0.39112142857142873,0.42400714285714286,0.18487142857142858
985549376192247,2.187817142857142,0.5624285714285714,0.2444499999999999,0.19312142857142856
873456432950595,1.8178785714285715,0.3667785714285715,0.4394357142857142,0.19378571428571428
422219896800918,1.6772228571428578,0.30419999999999997,0.5242785714285715,0.17152142857142857
900740014674953,1.7132207142857145,0.31810714285714276,0.5021285714285715,0.17976428571428574
1020578668480920,1.8877585714285712,0.418342857142857,0.42016428571428566,0.16149285714285722
343569160877337,2.078338571428571,0.5086071428571429,0.30807857142857137,0.18331428571428574
78804909138230,1.7854864285714285,0.3535214285714286,0.4626571428571429,0.18382142857142852
333614425743970,1.8987485714285712,0.4185857142857142,0.4074714285714286,0.1739428571428572
974443487743328,1.8179428571428573,0.3742857142857144,0.44747857142857167,0.1782357142857143
703985244396274,1.9770214285714287,0.4601571428571428,0.35714285714285715,0.1827
1122578106359740,1.8056949999999998,0.36499999999999994,0.4468071428571427,0.1881928571428571
492938554100859,1.8085250000000002,0.3599785714285715,0.4437785714285714,0.1962428571428572
170902461924754,1.7747664285714293,0.3542928571428571,0.4712857142857143,0.17442142857142856
260045648084392,1.9711164285714289,0.4491785714285712,0.3676,0.1832214285714286
450419983107763,1.7390835714285726,0.3338785714285714,0.4880071428571429,0.17811428571428578
543308666121182,1.849909999999999,0.39400000000000013,0.4326214285714286,0.1733785714285714
593849570694833,1.8329542857142858,0.3777428571428571,0.4360785714285715,0.18617857142857144
582382717235568,1.7461685714285713,0.3326499999999999,0.4774142857142858,0.18993571428571424
1123570616129223,1.8536807142857137,0.3879071428571428,0.4277214285714285,0.1843714285714286
680622798933824,1.740700714285714,0.3328142857142857,0.4837285714285714,0.18345714285714282
201764007966294,1.7204635714285712,0.3255571428571429,0.5047857142857142,0.16965714285714292
453356923466257,1.809442142857143,0.37242857142857144,0.45537142857142865,0.17220000000000008
346214149398000,1.7628142857142854,0.3385571428571428,0.4687214285714285,0.19272142857142852
353918643079908,1.967265,0.4588142857142857,0.36648571428571425,0.17470000000000005
971536625474344,1.719373571428572,0.3237428571428571,0.4996142857142857,0.17664285714285713
799035771825238,1.7063535714285714,0.31569285714285716,0.5034642857142857,0.18084285714285714
1114806189928891,1.7747878571428575,0.3491071428571428,0.47032857142857154,0.18056428571428565
216465895742590,1.71377,0.31884285714285715,0.5025928571428573,0.17856428571428568
926435018171726,1.807395714285714,0.3681928571428572,0.4474357142857143,0.1843714285714286
744517311885370,1.6306228571428574,0.2758357142857142,0.5425928571428572,0.18157142857142866
812580382463326,1.759242857142857,0.34769999999999995,0.48100000000000004,0.1713
521742092743191,1.6950328571428572,0.30977857142857135,0.5079642857142855,0.18225714285714287
1008612444973162,1.782120714285714,0.35785714285714276,0.46636428571428556,0.17577857142857137
121838283310165,1.7059778571428574,0.31341428571428565,0.49979285714285726,0.18679285714285712
431006493426170,1.919673571428571,0.4253428571428571,0.3935285714285715,0.1811285714285714
765322069857382,1.890750714285714,0.41507142857142865,0.41497142857142866,0.16995714285714286
725201757884584,1.6854521428571425,0.3038714285714286,0.5114071428571427,0.18472142857142856
184656659025018,1.6578778571428574,0.288442857142857,0.525857142857143,0.18569999999999992
1034686135547599,1.7037328571428574,0.3167642857142857,0.5100428571428571,0.1731928571428572
380972098894405,1.7145014285714282,0.32595,0.5091857142857144,0.16486428571428569
742183958399040,1.7978278571428568,0.36681428571428565,0.46175,0.1714357142857143
37852570490343,1.7003414285714287,0.30867857142857147,0.4983928571428572,0.19292857142857148
734109262104827,1.7474457142857143,0.33705714285714306,0.4847214285714285,0.1782214285714286
401686787590537,1.7757557142857137,0.34682142857142856,0.4615857142857142,0.19159285714285723
350020380685320,1.8295492857142854,0.3772714285714286,0.4399928571428572,0.18273571428571428
484612500106051,1.6587221428571428,0.2868285714285714,0.5221857142857143,0.19098571428571431
604884003999171,1.8680949999999996,0.4036428571428572,0.41782142857142857,0.17853571428571435
501697692195937,1.8217657142857142,0.3855285714285714,0.45235000000000003,0.1621214285714286
851083349436041,1.6949257142857148,0.3068285714285715,0.5051357142857142,0.1880357142857143
796940938751527,1.8692314285714282,0.4113071428571431,0.42109285714285716,0.16759999999999997
7713914261614,1.8195978571428566,0.3795214285714287,0.4503214285714287,0.1701571428571428
